127.0.0.1 - - [21/Feb/2023:12:09:22 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/index.jsp HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/slider/Design2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/slider/Design1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/slider/Design.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/product/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/galaxy.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/product/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:25 +0700] "GET /MyWeb/image/product/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:28 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:09:29 +0700] "GET /MyWeb/register.jsp HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:10:08 +0700] "POST /MyWeb/do-register HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [21/Feb/2023:12:10:08 +0700] "GET /MyWeb/image/galaxy.png HTTP/1.1" 404 781
